,,,,,
,שם הציוד,כמות,מחזיק בציוד,החל מתאריך,הערות
,אימפקט מקיטה,1,משרד (maor.menachem@oficiency.com),,
,"אטם פילטר 2""",1,משרד (maor.menachem@oficiency.com),,
,"אטם פילטר 3""",1,משרד (maor.menachem@oficiency.com),,
,אנטי סיז,1,משרד (maor.menachem@oficiency.com),,
,ארגז THT,1,משרד (maor.menachem@oficiency.com),,
,ארגז ברגים ריק,1,משרד (maor.menachem@oficiency.com),,
,ארגז כלים מוכן,1,משרד (maor.menachem@oficiency.com),,
,ארגז כלים חצי מוכן,2,משרד (maor.menachem@oficiency.com),,
,ארגז ערכת קאצ'ט 1/4 + מפתחות,1,משרד (maor.menachem@oficiency.com),,
,בודק לחץ מים,1,משרד (maor.menachem@oficiency.com),,
,"בוקסה 1"" 60 מ""מ",1,משרד (maor.menachem@oficiency.com),,
,"בוקסה 1"" 36 מ""מ",1,משרד (maor.menachem@oficiency.com),,
,"בוקסה 3/4"" 36 מ""מ",1,משרד (maor.menachem@oficiency.com),,
,"בוקסה 3/4"" 40 מ""מ",1,משרד (maor.menachem@oficiency.com),,
,ברזנט,1,משרד (maor.menachem@oficiency.com),,
,"ברזים 2""",5,משרד (maor.menachem@oficiency.com),,
,ברזים דור כימיקלים,2,משרד (maor.menachem@oficiency.com),,
,"ברז המלט כדורי 1/2"" יציאות לט לוק",2,משרד (maor.menachem@oficiency.com),,
,"ברז כדורי 1/4"" - זכר זכר",1,משרד (maor.menachem@oficiency.com),,
,"ברז מפוקד 2""",1,משרד (maor.menachem@oficiency.com),,
,"ברז מחט 1"" - נקבה נקבה",2,משרד (maor.menachem@oficiency.com),,
,"ברז מחט 1/2"" - נקבה זכר",2,משרד (maor.menachem@oficiency.com),,
,"ברז מחט 1/4"" - נקבה זכר",1,משרד (maor.menachem@oficiency.com),,
,גלאי גז אקטיבי,1,משרד (maor.menachem@oficiency.com),13/04/2026,
,גריז סיליקון,2,משרד (maor.menachem@oficiency.com),,
,גרניק,1,משרד (maor.menachem@oficiency.com),,
,ווסת לחץ עד 100 BAR,1,משרד (maor.menachem@oficiency.com),,
,"חבל בטיחות 10 מטר, 12 מ""מ",1,משרד (maor.menachem@oficiency.com),,
,חליפות THT,3,משרד (maor.menachem@oficiency.com),,
,ידית מברז,1,משרד (maor.menachem@oficiency.com),,
,טורק 400 ניוטון מטר מקסימלי,1,משרד (maor.menachem@oficiency.com),,
,טורק 200 ניוטון מטר מקסימלי,1,משרד (maor.menachem@oficiency.com),,
,כובעים לשמש,קיים,משרד (maor.menachem@oficiency.com),,
,לום,1,משרד (maor.menachem@oficiency.com),09/04/2026,
,מברג,13,משרד (maor.menachem@oficiency.com),,
,מדלל לצבע המרטון,1,משרד (maor.menachem@oficiency.com),,
,מד טמפרטורה 60 מעלות צלזיוס,1,משרד (maor.menachem@oficiency.com),,
,מד טמפרטורה 300 מעלות צלזיוס,1,משרד (maor.menachem@oficiency.com),,
,מד טמפרטורה דיגיטלי,1,משרד (maor.menachem@oficiency.com),,"נמצא בחדר של רוסלן, כיול הבא ב - 28/05/26"
,מד מומנט 350,1,משרד (maor.menachem@oficiency.com),,לבצע בדיקת כיול בסוף 2026
,מד מומנט 30/110,1,רפי (rafi.yarhi@oficiency.com),,
